Dates;OR FP Equity;DG FP Equity;SAN SQ Equity;ASML NA Equity;PHIA NA Equity;FP FP Equity;AI FP Equity;CS FP Equity;BNP FP Equity;BN FP Equity;VIV FP Equity;EL FP Equity;MC FP Equity;KER FP Equity;AMS SQ Equity;SAF FP Equity;AD NA Equity;IBE SQ Equity;INGA NA Equity;LIN GY Equity;PRX NA Equity;ITX SQ Equity;KNEBV FH Equity;FLTR ID Equity;ISP IM Equity;ENI IM Equity;ENGI FP Equity;ABI BB Equity;ADYEN NA Equity;SAN FP Equity;ENEL IM Equity;NOKIA FH Equity;SU FP Equity;ALV GY Equity;AIR FP Equity;BAYN GY Equity;BMW GY Equity;CRH ID Equity;BAS GY Equity;SIE GY Equity;VOW3 GY Equity;MUV2 GY Equity;SAP GY Equity;RI FP Equity;ADS GY Equity;DTE GY Equity;DPW GY Equity;DAI GY Equity;DB1 GY Equity;VNA GY Equity;SX5T Index;SXXP Index
03/01/2005;56.45;24.5941;8.0851;11.86;19.3573;39.6242;35.1789;17.6352;51.7858;32.5546;23.3806;28.575;51.01;67.85;#N/A N/A;15.8;8.7048;4.6225;17.2773;#N/A N/A;#N/A N/A;4.382;#N/A N/A;11.8569;3.3013;18.299;#N/A N/A;18.218;#N/A N/A;59.3;6.382;11.66;25.6879;97.39;21.56;23.138;33.75;17.8236;26.68;55.214;24.581;91.55;32.895;43.6135;30.23;16.71;17.27;35.68;22.325;#N/A N/A;4063.34;252.55
04/01/2005;56.9;24.8395;8.0851;11.64;19.0633;39.4762;35.1789;17.5489;52.1233;32.7433;23.758;27.95;50.74;67.89;#N/A N/A;15.86;8.7335;4.65;17.2773;#N/A N/A;#N/A N/A;4.296;#N/A N/A;11.9115;3.306;18.322;#N/A N/A;18.218;#N/A N/A;59.1;6.3124;11.75;26.1828;97.8;21.16;22.806;34.42;18.1855;26.585;54.907;25.327;92.52;32.25;43.7291;30.075;16.84;17.06;36.05;22.4;#N/A N/A;4064.83;253.55
05/01/2005;56.95;24.7414;7.9708;11.31;18.6811;39.1061;34.7923;17.3189;51.834;32.5074;23.6612;27.35;49.97;67.07;#N/A N/A;15.71;8.5465;4.6;17.1467;#N/A N/A;#N/A N/A;4.236;#N/A N/A;11.5837;3.3379;18.205;#N/A N/A;18.13;#N/A N/A;58.25;6.308;11.66;26.1086;96.43;20.98;22.225;34.54;17.7331;26.34;54.109;25.327;91.02;32.05;43.9988;29.7;16.7;17;35.92;22.3;#N/A N/A;4032.1;251.85
06/01/2005;57.3;25.085;7.9708;11.29;18.6713;39.4022;34.8954;17.4435;52.6055;32.6725;23.5354;27.175;50.15;67.39;#N/A N/A;15.54;8.6328;4.6;17.331;#N/A N/A;#N/A N/A;4.236;#N/A N/A;11.693;3.3932;18.26;#N/A N/A;18.255;#N/A N/A;57.65;6.2498;11.66;26.5293;97.4;21.6;22.234;34.71;17.9412;26.33;54.617;25.943;92.89;32.675;43.8447;29.838;16.71;17.05;36.11;22.37;#N/A N/A;4058.17;253.09
07/01/2005;57.85;25.2077;7.9357;11.24;18.6222;39.5255;35.1273;17.5681;53.2323;32.9556;23.5645;27.025;50.51;68.08;#N/A N/A;15.29;8.6904;4.6275;17.3156;#N/A N/A;#N/A N/A;4.194;#N/A N/A;11.8023;3.4064;18.23;#N/A N/A;18.068;#N/A N/A;57.85;6.2727;11.73;26.9747;97.48;21.92;22.17;34.6;17.8689;26.445;54.898;26.44;93.6;33.335;43.9988;29.663;16.78;17.15;35.93;22.3;#N/A N/A;4076.73;254.72
10/01/2005;57.6;25.0114;7.9181;11.4;18.5732;39.5996;34.9469;17.9994;53.3287;33.05;23.4;26.825;50.2;67.94;#N/A N/A;15.42;8.7048;4.605;17.3924;#N/A N/A;#N/A N/A;4.212;#N/A N/A;11.835;3.412;18.321;#N/A N/A;18.224;#N/A N/A;58.15;6.2507;11.91;26.9005;97.27;22.29;22.244;34.5;18.0136;26.26;54.845;26.798;94;33.25;43.8832;29.67;16.5;17.05;35.83;22.44;#N/A N/A;4073.93;254.62
11/01/2005;57.05;24.9868;7.9269;11.19;18.2596;39.5749;34.6634;17.8269;53.1359;33.1207;23.2935;27.075;49.57;67.62;#N/A N/A;15.35;8.7191;4.6075;17.2235;#N/A N/A;#N/A N/A;4.242;#N/A N/A;12.1847;3.3735;18.084;#N/A N/A;18.018;#N/A N/A;57.85;6.2454;11.65;26.8015;95.6;22.42;22.032;34.12;18.1855;25.915;54.275;26.261;92;31.875;42.265;29.378;16.26;16.87;35.49;22.71;#N/A N/A;4036.25;252.73
12/01/2005;56.2;25.2814;7.9093;11.36;18.1616;39.1555;34.0965;17.4531;52.3644;33.0972;22.7322;26.975;48.67;67.62;#N/A N/A;15.19;8.7335;4.6025;16.9701;#N/A N/A;#N/A N/A;4.258;#N/A N/A;12.2394;3.366;17.93;#N/A N/A;17.792;#N/A N/A;57.4;6.2719;11.5;26.6035;94.38;22.08;21.672;33.85;18.2669;25.67;53.854;25.863;91;31.213;42.265;28.975;16.05;16.6;34.98;22.62;#N/A N/A;4001.65;250.79
13/01/2005;56.1;25.6495;7.9884;11.49;18.2106;39.4269;34.1222;17.3668;52.5572;32.9556;22.8387;26.275;49.12;68.53;#N/A N/A;15.3;8.8774;4.6525;16.9624;#N/A N/A;#N/A N/A;4.32;#N/A N/A;12.2394;3.3614;18.237;#N/A N/A;17.774;#N/A N/A;58.2;6.2569;11.44;27.8409;95.01;22.86;21.746;33.42;18.276;25.865;53.574;25.883;89.66;31.473;41.9953;28.815;16.19;16.7;34.72;22.25;#N/A N/A;4018.5;251.73
14/01/2005;56.25;25.7232;7.9884;11.71;18.289;39.7723;34.2769;17.4243;53.0394;32.9084;22.9258;26.425;49.39;70.23;#N/A N/A;15.24;9.1364;4.675;16.9317;#N/A N/A;#N/A N/A;4.36;#N/A N/A;12.0755;3.352;18.411;#N/A N/A;17.63;#N/A N/A;57.75;6.375;11.5;27.9399;95.14;23.13;21.949;33.83;18.2579;26.03;53.503;26.112;89.91;31.4;42.188;28.71;16.1;16.89;35;21.88;#N/A N/A;4034.78;252.99
